Name,HomeStadium,Website
Arsenal,"Emirates Stadium",https://www.arsenal.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Aston Villa","Villa Park",https://www.avfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Barnsley,Oakwell,NULL
"Birmingham City","St. Andrew's Trillion Trophy Stadium",NULL
"Blackburn Rovers","Ewood Park",NULL
Blackpool,"Bloomfield Road",NULL
"Bolton Wanderers","University of Bolton Stadium",NULL
Bournemouth,"Vitality Stadium",http://www.afcb.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Bradford City","Valley Parade",NULL
Brentford,"Brentford Community Stadium",https://www.brentfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Brighton,"Amex Stadium",https://www.brightonandhovealbion.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Burnley,"Turf Moor",http://www.burnleyfootballclub.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Cardiff,"Cardiff City Stadium",http://www.cardiffcityfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Charlton Athletic","The Valley",NULL
Chelsea,"Stamford Bridge",https://www.chelseafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Coventry City","Highfield Road",NULL
"Crystal Palace","Selhurst Park",http://www.cpfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Derby County","Pride Park Stadium",NULL
Everton,"Goodison Park",http://www.evertonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Fulham,"Craven Cottage",http://www.fulhamfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Huddersfield,"John Smith's Stadium",https://www.htafc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Hull City","KCOM Stadium",http://www.hullcitytigers.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Ipswich Town","Portman Road",NULL
"Lech Poznan",NULL,https://www.lechpoznan.pl/
Leeds,"Elland Road",http://www.leedsunited.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Leicester,"King Power Stadium",http://www.lcfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Liverpool,Anfield,http://www.liverpoolfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Man City","Etihad Stadium",http://www.mancity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Man Utd","Old Trafford",http://www.manutd.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Middlesbrough,"Riverside Stadium",http://www.mfc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Newcastle,"St. James' Park",http://www.nufc.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Norwich,"Carrow Road",http://www.canaries.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Nottingham Forest","City Ground",NULL
"Oldham Athletic","Boundary Park",NULL
Portsmouth,"Fratton Park",NULL
"Queens Park Rangers","Loftus Road",NULL
Reading,"Madejski Stadium",NULL
"Sheffield Utd","Bramall Lane",http://www.sufc.co.uk/?utm_source=www.premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Sheffield Wednesday",Hillsborough,NULL
Southampton,"St. Mary's Stadium",https://www.southamptonfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Spurs,"Tottenham Hotspur Stadium",http://www.tottenhamhotspur.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Stoke City","bet365 Stadium",http://www.stokecityfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
Sunderland,"Stadium of Light",http://www.safc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Swansea City","Liberty Stadium",http://www.swanseacity.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Swindon Town","County Ground",NULL
Watford,"Vicarage Road",https://www.watfordfc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"West Brom","The Hawthorns",http://www.wba.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"West Ham","London Stadium",http://www.whufc.com/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
"Wigan Athletic","DW Stadium",NULL
Wimbledon,"Selhurst Park",NULL
Wolves,"Molineux Stadium",http://www.wolves.co.uk/?utm_source=premier-league-website&utm_campaign=website&utm_medium=link
